date,time,product_id,product_name,product_price,product_sold
,,,new_session,,
18/08/2019,10:53:54,4,cup,8,1
18/08/2019,10:53:58,6,vodka,8,3
18/08/2019,10:54:03,5,beer,8,5
18/08/2019,10:54:08,7,chicken,8,1
18/08/2019,10:54:11,5,beer,8,1
,,,new_session,,
18/08/2019,10:54:15,3,mustang,8,2
,,,new_session,,
18/08/2019,10:58:12,3,mustang,8,1
18/08/2019,10:58:17,7,chicken,8,10
18/08/2019,10:58:24,10,cellphone,8,1
,,,new_session,,
18/08/2019,10:59:13,4,cup,8,1
18/08/2019,10:59:19,1,lamborgini,10,1
,,,new_session,,
18/08/2019,11:01:26,1,lamborgini,10,1
18/08/2019,11:01:31,3,mustang,8,3
,,,new_session,,
18/08/2019,11:04:55,1,lamborgini,10,1
,,,new_session,,
18/08/2019,11:59:54,8,food,8,9
,,,new_session,,
19/08/2019,02:06:09,2,ferrary,9,10
19/08/2019,02:06:14,4,cup,8,10
19/08/2019,02:06:18,6,vodka,8,5
,,,new_session,,
19/08/2019,12:55:08,1,lamborgini,10,1
19/08/2019,12:55:11,2,ferrary,9,2
19/08/2019,12:55:13,3,mustang,8,3
19/08/2019,12:55:16,4,cup,8,4
,,,new_session,,
19/08/2019,12:57:27,1,lamborgini,10,1
19/08/2019,12:57:29,2,ferrary,9,2
19/08/2019,12:57:32,3,mustang,8,3
19/08/2019,12:57:35,4,cup,8,4
